카테고리,항목,내용
챕터 1,지역,불타는 전장 / Burning Battlefield
챕터 1,스테이지 타입 순서,Demon → Normal → Undead
챕터 1,스테이지명,파멸의 진영 / 핏빛 교전지대 / 원한의 묘지
챕터 1,몬스터 풀,Goblin · Orc · Imp / Wolf · Troll / Skeleton
챕터 1,분위기,끝나지 않는 전쟁이 대지를 갈아엎은 곳. 불길과 연기 쓰러진 병사들의 원한
챕터 1,챕터 보스,전장의 군주 — 분노에 물든 대장군
챕터 1,상태이상,화상 (Burn) — 체력회복 감소
챕터 2,죄종,시기 / Envy
챕터 2,지역,뒤틀린 숲 / Twisted Forest
챕터 2,스테이지 타입 순서,Normal → Demon → Undead
챕터 2,스테이지명,변형의 경계 / 독무의 심림 / 부패한 뿌리
챕터 2,몬스터 풀,Wolf · Lizardman / Succubus · Orc / Ghost · Zombie
챕터 2,분위기,독성비가 내리는 뒤틀린 숲. 다른 존재의 힘을 탐내는 그림자. 변형된 생물들의 땅
챕터 2,챕터 보스,숲의 거울 — 침입자의 모습을 복사하는 시기의 화신
챕터 2,상태이상,중독 (Poison) — 매 초 고정 데미지
챕터 3,죄종,탐욕 / Greed
챕터 3,지역,황금의 사막 / Golden Desert
챕터 3,스테이지 타입 순서,Normal → Undead → Demon
챕터 3,스테이지명,모래에 묻힌 폐허 / 저주받은 지하묘지 / 황금 보물고
챕터 3,몬스터 풀,Lizardman · Golem / Skeleton · Vampire / Imp · Goblin
챕터 3,분위기,사막에 묻힌 고대 왕국. 모래폭풍 속에 황금이 번쩍이지만 모두 저주가 걸려있음
챕터 3,챕터 보스,황금 수호자 — 보물에 집착한 나머지 보물이 된 왕
챕터 3,상태이상,스턴 (Stun) — 일정 시간 공격 불가
챕터 4,죄종,나태 / Sloth
챕터 4,지역,망각의 동토 / Frozen Oblivion
챕터 4,스테이지 타입 순서,Undead → Demon → Normal
챕터 4,스테이지명,얼어붙은 평원 / 빙하 요새 / 영구동결의 심부
챕터 4,몬스터 풀,Zombie · Ghost / Goblin · Imp / Yeti · Troll
챕터 4,분위기,모든 것이 얼어붙어 멈춘 동토. 시간이 정지한 듯 눈보라만 영원히 몰아치는 망각의 땅
챕터 4,챕터 보스,동토의 지배자 — 움직임을 잃어버린 고대의 정령
챕터 4,상태이상,빙결 (Freeze) — 공격속도 감소
챕터 5,죄종,폭식 / Gluttony
챕터 5,지역,심연의 동굴 / Caverns of the Abyss
챕터 5,스테이지 타입 순서,Undead → Normal → Demon
챕터 5,스테이지명,탐식의 입구 / 맥동하는 미로 / 소화의 심연
챕터 5,몬스터 풀,Zombie · Lich / Yeti · Golem / Gargoyle · Orc
챕터 5,분위기,끝없이 이어지는 동굴. 모든 것을 삼키는 살아있는 미로
챕터 5,챕터 보스,심연의 입 — 모든 것을 집어삼키는 폭식의 화신
챕터 5,상태이상,침식 (Corrode) — 피격마다 방어력 영구 감소 (스택형)
챕터 6,죄종,색욕 / Lust
챕터 6,지역,타락한 궁전 / Corrupted Palace
챕터 6,스테이지 타입 순서,Demon → Undead → Normal
챕터 6,스테이지명,부패한 정원 / 유혹의 회랑 / 욕망의 왕좌
챕터 6,몬스터 풀,Succubus · Imp / Vampire · Ghost / Lizardman · Troll
챕터 6,분위기,화려하지만 부패한 궁전. 유혹과 함정 욕망에 잠식된 하수인들
챕터 6,챕터 보스,궁전의 여왕 — 욕망을 먹고 신이 된 색욕의 화신
챕터 6,상태이상,매혹 (Charm) — 명중률 대폭 감소
챕터 7,죄종,오만 / Pride
챕터 7,지역,신의 폐허 / Ruins of God
챕터 7,스테이지 타입 순서,Demon → Normal → Undead
챕터 7,스테이지명,천상의 계단 / 무너진 신전 / 오만의 왕좌
챕터 7,몬스터 풀,Gargoyle · Orc / Golem · Yeti / Lich · Vampire
챕터 7,분위기,하얀 대리석으로 지어진 신의 궁전이 무너진 폐허. 신성한 빛이 오염되어 차갑게 빛나는 최후의 땅
챕터 7,챕터 보스,타락한 신 — 스스로를 신이라 칭하다 추락한 오만의 끝
챕터 7,상태이상,심판 (Judge) — 카드 스킬 발동 확률 0% (스킬 봉인)
